Día,Horario Ingreso,Horario Egreso
1/11/2021,07:55:00,17:45:00
2/11/2021,09:03:00,21:40:00
3/11/2021,09:15:00,17:32:00
4/11/2021,08:43:00,21:40:00
5/11/2021,08:45:00,17:45:00
8/11/2021,08:55:00,18:45:00
9/11/2021,08:40:00,21:39:00
10/11/2021,09:15:00,17:43:00
11/11/2021,08:50:00,21:43:00
12/11/2021,07:55:00,18:22:00
15/11/2021,07:55:00,18:09:00
16/11/2021,07:55:00,21:35:00
17/11/2021,09:31:00,19:20:00
18/11/2021,08:55:00,21:48:00
19/11/2021,08:50:00,18:50:00
